Word1,Word2,Idx1,Idx2,Palindrome
aa,aa,1,1,true
aba,aba,17,17,true
abut,tuba,461,104345,false
ad,da,1034,23791,false
ados,soda,1323,93241,false
aga,aga,1686,1686,true
agar,raga,1703,79643,false
agas,saga,1707,86736,false
agenes,senega,1735,89278,false
ah,ha,1930,43478,false
aha,aha,1931,1931,true
aider,redia,1948,81505,false
airts,stria,2094,96631,false
ajar,raja,2114,79768,false
ala,ala,2130,2130,true
alif,fila,2380,36072,false
alula,alula,2767,2767,true
am,ma,2798,57699,false
ama,ama,2799,2799,true
amen,nema,2953,64563,false
amis,sima,3028,91249,false
an,na,3227,63969,false
ana,ana,3228,3228,true
anger,regna,3470,82231,false
animal,lamina,3532,54366,false
animes,semina,3548,89226,false
anna,anna,3597,3597,true
anon,nona,3707,65303,false
ante,etna,3770,33357,false
are,era,4813,32840,false
ares,sera,4837,89467,false
aril,lira,4916,56312,false
arris,sirra,5096,91473,false
arum,mura,5224,63530,false
at,ta,5689,99148,false
ate,eta,5717,33239,false
ates,seta,5722,89640,false
auks,skua,6035,91851,false
ava,ava,6234,6234,true
avid,diva,6310,28272,false
avo,ova,6329,68965,false
awa,awa,6377,6377,true
ay,ya,6504,112974,false
bad,dab,6772,23792,false
bag,gab,6816,39528,false
bal,lab,6925,53994,false
bals,slab,7054,91917,false
ban,nab,7076,63970,false
bard,drab,7300,29146,false
bas,sab,7524,86557,false
bat,tab,7663,99149,false
bats,stab,7712,95256,false
bed,deb,8099,24493,false
ben,neb,8749,64388,false
bib,bib,9341,9341,true
bid,dib,9413,26691,false
big,gib,9473,40835,false
bin,nib,9637,64839,false
bins,snib,9679,92858,false
bird,drib,9806,29397,false
bis,sib,9875,90888,false
bob,bob,10708,10708,true
bog,gob,10796,41662,false
boob,boob,11048,11048,true
bos,sob,11267,93169,false
bots,stob,11357,96167,false
bows,swob,11529,98832,false
brad,darb,11634,24121,false
brag,garb,11644,40006,false
bub,bub,12495,12495,true
bud,dub,12581,29703,false
bun,nub,12855,65923,false
buns,snub,12919,93084,false
bur,rub,12944,86154,false
burd,drub,12960,29593,false
burg,grub,12985,42886,false
bus,sub,13140,97019,false
but,tub,13238,104344,false
buts,stub,13261,96805,false
cam,mac,13946,57702,false
cap,pac,14356,70159,false
cares,serac,14716,89468,false
civic,civic,17611,17611,true
cod,doc,18649,28421,false
cram,marc,22125,58699,false
cud,duc,23017,29720,false
dad,dad,23829,23829,true
dag,gad,23867,39568,false
dah,had,23884,43559,false
dahs,shad,23897,89792,false
dam,mad,23968,57805,false
dap,pad,24105,70230,false
dart,trad,24185,103045,false
daw,wad,24303,109984,false
debut,tubed,24574,104359,false
decal,laced,24594,54056,false
dedal,laded,24848,54163,false
deed,deed,24871,24871,true
deem,meed,24881,59601,false
deep,peed,24887,71917,false
deeps,speed,24899,94271,false
deer,reed,24900,81658,false
dees,seed,24910,88950,false
defer,refed,24977,81839,false
degami,imaged,25135,47919,false
deified,deified,25224,25224,true
deifier,reified,25225,82409,false
deil,lied,25234,55790,false
deke,eked,25260,30856,false
deked,deked,25261,25261,true
del,led,25264,55198,false
deled,deled,25286,25286,true
delf,fled,25304,36899,false
deliver,reviled,25362,84697,false
dels,sled,25380,92058,false
demit,timed,25471,101800,false
denier,reined,25602,82480,false
denies,seined,25604,89062,false
denim,mined,25605,60818,false
denned,denned,25611,25611,true
dens,sned,25632,92832,false
depot,toped,25811,102542,false
depots,stoped,25812,96315,false
derat,tared,25891,99791,false
derats,stared,25892,95527,false
dessert,tressed,26136,103589,false
desserts,stressed,26137,96602,false
devas,saved,26330,87588,false
devil,lived,26376,56444,false
dew,wed,26435,110894,false
dewans,snawed,26437,92809,false
dewed,dewed,26452,26452,true
dexes,sexed,26475,89723,false
dial,laid,26567,54256,false
dialer,relaid,26572,82662,false
diaper,repaid,26637,83242,false
did,did,26766,26766,true
dig,gid,26868,40866,false
dim,mid,27007,60426,false
dinar,ranid,27059,79954,false
diols,sloid,27142,92293,false
dirts,strid,27290,96652,false
do,od,28397,66638,false
dog,god,28507,41695,false
dom,mod,28657,62041,false
don,nod,28713,65193,false
doom,mood,28772,62567,false
door,rood,28781,85763,false
dor,rod,28832,85639,false
dormin,nimrod,28849,65025,false
dorp,prod,28862,77232,false
dos,sod,28879,93240,false
dot,tod,28906,102175,false
drail,liard,29225,55649,false
draw,ward,29280,110360,false
drawer,reward,29294,84789,false
draws,sward,29308,98572,false
dray,yard,29311,113046,false
dual,laud,29690,54826,false
ducs,scud,29753,88519,false
dud,dud,29765,29765,true
duel,leud,29780,55522,false
duo,oud,29963,67918,false
dup,pud,29982,78143,false
dups,spud,30010,94967,false
eat,tae,30372,99315,false
edile,elide,30603,31046,false
edit,tide,30605,101657,false
eel,lee,30645,55206,false
eh,he,30805,44665,false
eke,eke,30855,30855,true
elides,sedile,31048,88918,false
em,me,31171,59386,false
eme,eme,31368,31368,true
emes,seme,31409,89189,false
emir,rime,31438,85272,false
emit,time,31447,101797,false
emits,stime,31448,96060,false
enol,lone,32135,56845,false
er,re,32839,80370,false
ere,ere,32863,32863,true
ergo,ogre,32894,66839,false
eros,sore,32928,93742,false
ervil,livre,32996,56487,false
etas,sate,33248,87439,false
eve,eve,33549,33549,true
even,neve,33552,64771,false
evil,live,33615,56442,false
eviler,relive,33618,82809,false
ewe,ewe,33671,33671,true
eye,eye,34507,34507,true
fer,ref,35645,81822,false
fires,serif,36394,89539,false
flog,golf,37130,41805,false
flow,wolf,37241,112287,false
fool,loof,37702,56921,false
gag,gag,39609,39609,true
gal,lag,39661,54209,false
gals,slag,39793,91940,false
gam,mag,39811,57883,false
gan,nag,39907,63998,false
gar,rag,40001,79642,false
gas,sag,40129,86735,false
gat,tag,40213,99335,false
gats,stag,40237,95311,false
gel,leg,40401,55244,false
gelder,redleg,40420,81542,false
get,teg,40751,100274,false
gig,gig,40889,40889,true
gip,pig,41027,73439,false
girt,trig,41077,103740,false
gnar,rang,41573,79939,false
gnat,tang,41590,99612,false
gnats,stang,41598,95479,false
gnaws,swang,41610,98541,false
gnus,sung,41629,97943,false
got,tog,42023,102219,false
gul,lug,43141,57320,false
gulp,plug,43176,74594,false
guls,slug,43185,92391,false
gum,mug,43186,63275,false
gums,smug,43215,92695,false
guns,snug,43272,93117,false
gut,tug,43341,104427,false
habus,subah,43519,97034,false
hah,hah,43659,43659,true
hahs,shah,43660,89848,false
halalah,halalah,43744,43744,true
hales,selah,43766,89109,false
hallah,hallah,43804,43804,true
hap,pah,44135,70320,false
hay,yah,44603,113000,false
hey,yeh,45544,113165,false
ho,oh,45897,66850,false
hoop,pooh,46448,75233,false
hop,poh,46488,74843,false
huh,huh,46936,46936,true
is,si,51333,90879,false
it,ti,51508,101601,false
jar,raj,51771,79767,false
kaiak,kaiak,52723,52723,true
kay,yak,52900,113007,false
kayak,kayak,52901,52901,true
keek,keek,52948,52948,true
